Longitude (180 degree E),Latitude (degree N),Number,Site name,Reference,DOI
-33.22,19.13,Mars Pathfinder,Ares Vallis,"Golombek et al., 2012",10.1007/s11214-012-9916-y
175.06,-14.64,MER-A (Spirit),Gusev crater,"Golombek et al., 2012",10.1007/s11214-012-9916-y
-6.23,-2.06,MER-B (Opportunity),Meridiani Planum,"Golombek et al., 2012",10.1007/s11214-012-9916-y
137.4239,-4.4868,MSL (Curiosity),Gale crater,"Golombek et al., 2012",10.1007/s11214-012-9916-y
-76.4,-9.8,1,Melas Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-75.5,-5.5,2a,Western Candor Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-75.5,-5.5,2b,Western Candor Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-69.5,-11.6,3,Eastern Melas Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-62.5,-4.5,4a,Juventae Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-63.2,-4.8,4b,Juventae Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-51.1,-28.3,5,Ritchey crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-51,2.3,6,Xanthe Terra,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-47.3,8,7a,Northern Xanthe,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-47.2,6.9,7b,Northern Xanthe,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-45.3,11.4,7c,Northern Xanthe,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-43,7,8,ShalbatanaVallis,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-42.5,-13.4,9,Eos Chasma Alluvial,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-44,-49.7,10,Argyre,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-42,-56.3,11a,Argyre,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-37.6,-55.2,11b,Argyre,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-38,-10.7,12,Eos Chasma,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-36.6,-35.7,13,Hale crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-35.4,-3.8,14,Valles Marineris,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-35,-26.7,15a,Holden crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-34.9,-26.4,15b,Holden crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-34.9,-26.4,15c,Holden crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-34.4,-24,16a,Eberswalde crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-33,-23.8,16b,Eberswalde crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-33.3,-23.9,16c,Eberswalde crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-33,-23,16d,Eberswalde crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-32.2,22.9,17,Tiu Valles,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-27.5,-18.8,18,Ladon basin,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-26,-49,19,Wirtz crater,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-22.7,-11.7,20a,Margaritifer basin,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-21.9,-12.8,20b,Margaritifer basin,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-20.2,-23.6,21,Samara Vallis,"Grant et al., 2011",10.1016/j.pss.2010.06.016
-21.1,24.5,22a,Mawrth Vallis,"Grant et al., 2011",10.1016/j.pss.2010.06.016
